LateAfterNopre1,CNVAfterNopre1,LateAfterNopre2,CNVAfterNopre2
2,-0.00526777189224958,4,0.0020168496024174
4,-0.00452626155068477,2,-0.000777627574279904
3,-0.00525286444462836,2,-0.00368443597108126
3,-0.00158018603300055,1,0.00384312297683209
2,8.39787535369396e-05,3,0.00741578700641791
4,-0.00219966548805436,3,-0.00821478587264816
2,-0.00607869339485963,1,0.000302121353646119
3,-0.0098019380432864,4,0.00959541369229555
3,0.0089353338504831,3,0.00190258352085948
3,0.00391165477534135,4,-0.00542333466000855
4,-0.00509120911980669,1,-0.00272634470214446
4,0.00486453434374804,3,-0.00880400735574464
2,0.0071866891036431,1,0.0187580324709415
4,0.00142324113403447,4,-0.000283270453413328
2,-0.0125903791437546,1,-0.00710300138841073
2,-0.00759908541416128,2,0.00130303010034064
1,-0.0130244341368477,1,0.00348523872283598
2,-0.000281184620689601,4,0.00378606282174587
2,-0.00245462249343594,2,0.00298381845156352
4,0.00337688190241655,4,0.0234896149486303
1,-0.00517577119171619,1,-0.00812274473719299
4,-0.00743767945095897,3,-0.00588214537128806
2,-0.0107218315824866,1,0.00281626090873033
4,0.0153697114437819,3,0.00278135466699799
1,0.00110341825832923,1,0.00052925447622935
4,-0.00464635908914109,3,0.000984561629593372
2,-0.00318145410468181,3,0.000540537488025924
2,0.00410945022789141,1,-0.00218557434466978
2,0.00210250541567802,2,-0.00842987472424284
4,-0.0119246144458884,3,-0.00545257066066066
3,-0.00259774624525259,2,-0.00356918945908546
1,0.0218157358467579,3,-0.00194710116678228
1,0.00768423390885194,4,-0.0172670390456915
1,-0.00793818089490136,1,-0.0165653843432665
1,0.00930281107624372,1,-0.00359126754725973
1,-0.002114442269279,2,0.0237616850063205
3,-0.0107054328545928,3,0.00816418643807992
4,-0.00393425665485362,4,-0.000387424215053519
4,-0.0121285996089379,2,0.012741580295066
2,-0.00928989471867681,4,-0.00329275118807952
4,0.00739932851865888,4,-0.00159624444010357
1,-0.00842405824611584,3,0.000757686172922452
4,0.000616401220516612,1,0.0289163409421841
1,0.00995315130179127,2,-0.00470543839037418
2,-0.00514703911418716,4,-0.00105071797346075
2,-0.0176503366480271,4,-0.00340548910511037
3,-0.000120868959735769,4,-0.0230086011191209
3,0.00312954532758643,2,-0.00681118698169788
2,-0.00488306778909949,3,-0.000657545092205207
3,0.0132941237340371,2,0.00719110046823819
3,-0.00478991493582726,4,-0.000429281421626608
