LateBefore,CNVBefore,LateAfter,CNVAfter
4,-0.000755426163474719,3,0.00110629511376222
1,0.000597673468291759,1,0.00520185350130002
4,0.0229959338903427,3,0.00710318051278591
1,-0.00185219019961854,4,-0.00289284748335679
2,-0.00460403633769602,4,-0.00978147160882751
1,-0.00474058871623129,1,0.00607948812345664
2,-0.00168860841464872,4,-0.0238623674958944
4,-0.00443697938074668,2,-0.0138174456854661
3,0.014031425351277,3,0.00230345759579601
1,-0.00849276610339681,4,8.40914144646376e-05
1,0.00642917499256631,1,0.00163922282808926
2,0.0297768674790859,1,-0.0148201339567701
1,-0.000497201302399238,1,0.0156271453791608
3,-0.000948328665496471,2,0.00655610548953215
1,-0.00399261222628411,4,-0.00326396458937476
1,0.0154425468839084,4,-0.00412566001371791
1,0.00852248740072052,2,0.0144381715605656
4,0.00962539560471972,2,0.0069965790801992
2,0.00274831995678445,4,-0.00692227948457003
3,0.00304633842703576,4,0.00448216234023372
1,0.0212172965208689,4,-0.00557990263526638
1,0.00562776128451029,2,-0.00374059674019615
1,-0.0180875031898419,1,0.0294221372654041
1,-0.00581739641105135,3,-0.0028893038785706
3,0.013696465951701,1,-0.0131417009979486
4,0.00354795064777136,2,0.0170451759671171
3,0.00685463317980369,1,0.00157944625243545
2,0.000624704485138257,2,0.00145560510767003
2,0.032023373991251,3,-0.00466044332521657
1,0.00818273646291345,2,-0.00116606045048684
3,0.0105864919300226,1,-0.0391441310445468
4,0.00643451391564061,2,-0.0192110942055782
3,0.000464619001528869,4,-0.00917072283724944
2,0.00776438803101579,2,0.00404827793439229
2,-0.0049665553184847,3,-0.00103334710001945
4,-0.00334983959328383,2,0.0089359610962371
3,-0.00746567159270247,4,-0.00479863327927887
3,0.0136982717861732,4,0.00800562199826042
3,0.0128673240542412,1,-0.000947198374584938
2,0.00106089856126346,2,-0.00399929370420675
1,0.00335300253937021,3,0.000704581407868924
3,0.0113395756731431,3,0.00127068456883232
2,0.0386107973754406,1,-0.00417888723313808
3,0.00248613362782635,3,-0.0035607338262101
4,0.00413322239182889,1,-0.00309679936617613
4,-0.001971222848321,2,-0.0137839208667477
1,0.0121984394888083,1,0.00436360063031316
1,-0.00104440764213602,2,-0.00463588679364572
4,-0.00195203305823573,3,-0.00445430578353504
3,0.00623475749550077,3,-0.00454587272057931
1,0.0095988493024682,4,-0.00685596015925209
1,0.00234898331109434,2,-0.0259173475205898
4,-0.0222764493276676,1,0.00480522712071737
1,0.00381770283759882,4,0.00149788490186135
4,-0.00656828749924898,3,0.000992552222063144
1,0.00245844960833589,2,-0.00210447000184407
2,0.00133147494246562,4,0.00513005731045268
4,-0.0296623188381394,1,0.0161590939387679
2,-0.00304358700911204,4,0.038478081425031
1,-0.0215208567678928,4,-0.00926744751632214
3,-0.000145121749180059,2,-0.000915694438541929
1,0.00563091753671567,2,-0.00521659284519653
3,0.00716714037116617,4,-0.0119595699943602
3,0.00596452334624094,1,0.00076321450372537
3,0.0044237522330756,3,0.0139352949336171
2,0.0220876913517714,4,0.00628592787931363
4,-0.00927680816190938,4,-0.0175362474595507
2,0.00877999933436513,4,0.00580692756921053
2,-0.00856482998157541,3,0.000555094583736112
3,0.00230246887076646,2,-0.0018314458502573
4,-0.00367504802610104,4,0.00661141859988372
3,-0.00505085561599117,1,-0.00128670044553777
2,-0.000508388349165519,4,0.0146396749963363
2,-0.00748640814951311,2,-0.00171452271752059
1,-0.00819528118396799,4,0.00523792145152887
1,-0.00977582236131032,2,0.0139530077576637
4,-0.00897609491585172,2,-0.0259449187045296
4,0.00160190657091637,3,0.000410226872190833
4,0.00426479537660877,1,-0.00445115589536726
3,-0.0142565093313654,4,-0.0115974529956778
1,0.00763442305227121,4,-0.000606433992894987
2,-0.0210891030728817,3,0.00846206567560633
1,-0.0163233960047364,1,-0.0024015402692991
4,0.0104690666000048,1,0.00515022850595415
1,0.00255682319402695,4,0.00659550291796525
1,0.0131497668723265,2,-0.0123072608063618
1,0.00670770819609364,3,-0.000419323837074141
3,-0.00213370534280936,1,-0.00171034697753688
4,0.00289504478375117,4,0.0423518680036068
1,0.0023286094268163,4,0.000876536961489668
3,-0.00290160841541365,3,0.011321525555104
1,-0.00668307052304347,1,-0.0042756527182064
3,-0.00117447087541223,3,0.000687435735017061
1,-0.0113035865748922,1,0.00744426809251308
3,7.74516956880689e-05,3,0.0045008952729404
4,-0.0117379327615102,1,0.000357032753527164
2,0.00674449295426408,3,-0.00204158415241788
1,-0.0114473531333109,3,-0.00531632297982772
4,-0.0190934464335442,1,0.00150054004431392
2,0.00827322760596871,3,0.0032210317440331
4,0.0174058865134915,3,0.00594135746359825
3,0.00634632958099246,1,0.0036782060827439
1,0.00824118964374065,3,-0.00770026447329049
2,-0.00923664021926622,3,0.00493371952325106
1,-0.00158041001607974,3,-0.0116172725198946
1,0.0213480590221783,4,-0.00314871221780777
2,0.00242825977814694,3,0.00839426733242969
4,0.0112613529587785,3,0.00168715805436174
4,-0.0125795938074589,2,0.0105537034881612
3,0.00318715845545133,1,0.00079761571638907
2,0.00537707594533761,3,0.0092494177321593
1,0.00863676890730858,1,-0.0221981449673573
3,-0.0056513089997073,3,-0.0148426395220061
4,0.00868938009565075,4,-0.0187973504265149
1,-0.00132403631384174,3,0.00995911968251069
3,0.00692271146302422,2,-0.000746885314583778
3,0.0132569850732883,3,0.00968424261858066
3,0.00521692455125352,2,-0.018631764066716
2,0.00525860379760464,2,-0.00298951496370137
4,0.00309770562065144,3,0.0522753310700258
3,-0.00254981312900782,1,0.000250417913775891
3,0.00110824049140016,1,0.00579204379270474
4,-0.00122037700687846,4,-0.0230967402458191
4,0.00964949637030562,2,-0.00290673241640131
3,-0.00601956410294709,1,-0.0161919500678778
1,-0.0037127433073086,2,0.0155942381049196
1,0.00257502620418866,1,0.0065525717412432
3,-0.0126355877146125,3,0.00207605944888201
3,-0.00197625398868695,3,0.00526957431187232
1,0.000508681250115236,2,0.00614926591515541
1,0.00859200643996398,3,0.00284634833224118
3,0.0130336042493582,2,0.00202128197997808
1,0.0107673794652025,3,0.00367287049690882
1,-0.00626015694191058,1,0.0233314714084069
4,0.0292004483441512,1,0.0243299206097921
2,0.012212259384493,2,0.00507050372349719
2,0.0309007447212934,1,0.00954252108931541
3,0.0114839253947139,1,-0.0102916035490731
