Lateness1,Lateness2,Lateness3,Lateness4
0.554,0.173,0.074,0.231
0.373,0.059,0.422,0.231
0.541,0.489,0.588,0.078
0.059,0.045,0.359,0.671
0.595,0.074,0,0.465
0.083,0.074,0.448,0.448
0.427,0.059,0.499,0.465
0.356,0,0.174,0.448
0.524,0.514,0.105,0.448
0.39,0.027,0.588,0.359
0.377,0.59,0.487,0.521
0.154,0.076,0.465,0.49
0.448,0.369,0.471,0.377
0.201,0.359,0.078,0.28
0.53,0.041,0.098,0.118
0.593,0.078,0.548,0.228
0.541,0.084,0.118,0.174
0.54,0.063,0.359,0.702
0.548,0.531,0.23,0.06
0.138,0.044,0.318,0.06
0.126,0.088,0.361,0.659
0,0.091,0.35,0.863
0.021,0,0.34,0.946
0.088,0.053,0,0.61
0,0.088,0.964,0.965
0,0.068,0.591,0.988
0.088,0.082,0,0.917
0.091,0.055,0.481,0.96
0.065,0.028,0.69,0.954
0,0.917,0.917,0.96
0,0.007,0.964,0.954
0.126,0.058,0.317,0.956
0,0.021,0.028,0.662
0.978,0,0.021,0.95
0,0,0.757,0.954
0,0.021,0.984,0.968
0,0.049,0.317,0.6
0.036,0.105,0.346,0.988
0.101,0,0.315,0.988
0.095,0.134,0.964,0.984
0,0.045,0.361,0.894
0,0.13,0.964,0.979
0.021,0.088,0.214,0.894
0.091,0,0.645,0.979
0,0.093,0.304,0.979
0.028,0.121,0.021,0.979
0,0.126,0.568,0.979
0.934,0.088,0.378,0.982
0.081,0.133,0.205,0.982
0,0.068,0.432,0.979
0,0.036,0.554,0.979
0,0.074,0.453,0.989
0.021,0,0.956,0.986
0,0.032,0.803,0.454
0.014,0.095,0.365,0.134
0.077,0.091,0.383,0.51
0.043,0,0.892,0.507
0.093,0,0.417,0.616
0,0.036,0.606,0.532
0.068,0.082,0.946,0.525
0.021,0.117,0,0.585
0,0,0.212,0.442
0.074,0.044,0.921,0.766
0,0.101,0.288,0.643
0.036,0.373,0.899,0.572
0,0.043,0.701,0.844
0,0.073,0.659,0.536
0,0,0.346,0.683
0.086,0.086,0.632,0.67
0.091,0.082,0.211,0.769
0,0,0,0.504
0.388,0.037,0.369,0.775
0.091,0.058,0.484,0.675
0.007,0,0.509,0.796
0,0,0.184,0.657
0,0.021,0.393,0.623
0.055,0,0.686,0.604
0.038,0,0.848,0.809
0.049,0.036,0.302,0.609
0.133,0,0.734,0.657
0.088,0.074,0.882,0.565
0,0.073,0,0.657
0,0,0.317,0.621
0.133,0.13,0.651,0.663
0.036,0.098,0.435,0.607
0.134,0,0,0.757
0,0.021,0.503,0.663
0.021,0.101,0.374,0.824
0.037,0.278,0.252,0.015
0.219,0.33,0.064,0.886
0.175,0.697,0.608,0.464
0.742,0.235,0.27,0.332
0,0.062,0.277,0.093
0.051,0.243,0.417,0
0.26,0,0.301,0.355
0.65,0.277,0.179,0.314
0.303,0.301,0.195,0.181
0.211,0,0.241,0.344
0.015,0.02,0.449,0.386
0,0.038,0.314,0.63
0.213,0.301,0.177,0.557
0.227,0.25,0,0.479
0,0,0.166,0.516
0.24,0.015,0.159,0.491
0.534,0.181,0.464,0.346
0,0.204,0.038,0.777
0.151,0.015,0,0.418
0.244,0.269,0.377,0.981
0.637,0.571,0.937,0.75
0.302,0.086,0.32,0.54
0.317,0.3,0.318,0.525
0.298,0.09,0,0.179
0,0,0.18,0.448
0.243,0.732,0.647,0.677
0,0.382,0,0.649
0.561,0.038,0.518,0.574
0.247,0,0.464,0.664
0.177,0.301,0.213,0.334
0.969,0,0.15,0.677
0.763,0.232,0.258,0.922
0.015,0.038,0.284,0.329
0.464,0.335,0.02,0.46
0.038,0.038,0.139,0.37
0,0.015,0.015,0.347
0.135,0.291,0.015,0.301
0.293,0.52,0.672,0.301
0.015,0.479,0.25,0.301
0.288,0.125,0.559,0
0.038,0.243,0.413,0
0.971,0.015,0.305,0
0.3,0.166,0.177,0
0.277,0.135,0.868,1
0,0.174,0,0.053
0.278,0.698,0.302,0.241
0.282,0.257,0.135,0.288
0.151,0,0.02,0.291
0.25,0.204,0.089,0.175
0.792,0.148,0.939,0.222
0.038,0.348,0.209,0.219
0.3,0.245,0.603,0.488
0.065,0.274,0,0.192
0,0.054,0.479,0.198
0.845,0.093,0.181,0.142
0.448,0.015,0.477,0.032
0,0.301,0.735,0.074
0.213,0.015,0.257,0.336
0.022,0,0.164,0.481
0.349,0.177,0.362,0.236
0.479,0.183,0.288,0.032
0,0.02,0.345,0.174
0.161,0.551,0.904,0.199
0.301,0.219,0.278,0.615
0.082,0.015,0.745,0.281
0.301,0,0.319,0.55
0.195,0.308,0.404,0.585
0.187,0.983,0.629,0.86
0.16,0.56,0.275,0.858
0.277,0.42,0.329,0.868
1,0,0.569,0.895
0.154,0.226,0.017,0.886
0.244,0.153,0.906,0.874
0.989,0.395,0.845,0.658
0.229,0.145,0.351,1
0.637,0.529,0.072,0.45
0.273,0.6,0.641,0.938
0.081,0.096,0.816,0.878
0.32,0.42,0.798,0.886
0.019,0.416,0.918,0.899
0.164,0.353,0.814,0.868
0.174,0.288,0.456,0.906
0.509,0.438,0.299,0.561
0.802,0.802,0.563,0.567
0.877,0.242,0.354,0.675
0.157,0.934,0.408,0.599
0.984,1,0.434,0.78
0,0.358,0.561,0.549
0.229,0.215,0.525,0.689
0.811,0.592,0.816,0.772
0,0.441,0.984,0.908
0.275,0.37,0.597,0.444
0.799,0.245,0.267,0.291
0.269,0.831,0.967,0.615
0.26,0.276,0.562,0.816
1,0.51,0.261,0.82
0,0.153,0.271,0.945
0,0.426,0.773,0.877
0.343,0.239,0.079,0.391
0.858,0.619,0.09,0.348
0.786,0.476,0.613,0.494
0.081,0.212,0.81,0.984
0.499,0.391,0.908,0.262
0.145,0.195,0.491,1
0.811,0.679,0.99,0.483
0,0.624,0.497,0.594
0.215,0.394,0.425,0.487
0.699,0.615,0.493,0.531
1,0.476,0.198,1
0.096,0.958,0.344,0.984
0.053,0.19,0.271,1
0.275,0.096,1,0.853
0.69,0.269,0.33,1
1,0.186,0.514,0.97
0,0.207,0.615,0.298
0.414,0.37,0.816,0.716
0.019,0.481,0.53,1
0,0.331,0.97,0.164
0,0.079,1,0.982
0,0.245,0.788,0.655
0.219,0.334,0.231,1
0.598,0.182,0.252,0.203
0.895,0.157,0.634,0.792
0.784,0.525,0.967,0.418
0.153,0.247,0.164,0.248
0.012,0.205,0.861,0.174
0.207,0.515,0.886,0.982
0.881,0.225,0.652,0.939
0.229,0.454,0.643,0.982
0.168,0.165,0.537,1
0.945,0.34,0.513,0.425
0.921,0.501,0.358,0.989
0.916,0.357,0.953,0.983
0.432,0.542,0.06,0.983
0.609,0.053,0,0.619
0.574,0.029,0.563,0.765
0.154,0.901,0.534,0
0.348,0.93,0.006,0.363
0.307,0.974,0.918,0.433
0.636,0.735,0.688,0.316
0.902,0,0,0.908
0.845,0.994,0.037,0.732
0.943,0.891,0.419,0
0.018,0.922,0.976,0
0,0.19,0,0.983
0.029,0.967,0.402,0.989
0.689,0.478,0.972,0
0.409,0.689,0.611,0.534
0.372,0.95,0.987,0.922
0.433,0,0.542,0.974
0.348,0.654,0.901,0.974
0.877,0.457,0.983,0.029
0.44,0.937,0.057,0.022
0.459,0.029,0.712,0.717
0.988,0.08,0.922,0.967
0.402,0.577,0.967,0.893
0.014,0.65,0.941,0.97
0.09,0.425,0.21,0.861
0.138,0.624,0.831,0.967
0.51,0.552,0.817,0.044
0.902,0.967,0.4,0.743
0.405,0.886,0.967,0.986
0.828,0.625,0.634,0.986
0.937,0.364,1,0.697
0.967,0.495,0.354,0.87
0.034,0.053,0.56,0.504
0.397,0.419,0.989,0.1
0.766,0.514,0.556,1
0.51,0.778,0.021,0.093
0.969,0.117,0.389,0.797
0.877,0.107,0.969,0.902
0.95,0.556,0.41,0.49
0.191,0.831,0,0.916
0.717,0.128,0.882,0.015
0.466,0.595,0,0.933
0.874,0.037,0.93,0.831
0.189,0.169,0.037,0.391
0.184,0.184,0,0.916
0.969,0.809,0.969,0.059
0.901,0.462,0.916,0.831
0.974,0.916,0.568,0.874
0.377,0.906,0.994,0.928
0.155,0.782,0.967,0.857
0.922,0.348,0.988,0.925
0.967,0.75,0.191,0.389
0.625,0.472,0.716,0.676
0.293,1,0.969,0.886
0.482,0.889,0,0.768
0.634,0.185,0.989,0.115
0.983,0.427,0.968,0.115
0.021,1,0.107,0.12
0.377,0.845,0.615,0.937
0.574,0.029,0.921,0.036
0,0.982,0.757,0.093
0.348,0.953,0.902,0.925
0.063,0.49,0.967,0.018
0.983,1,0.615,0.011
0.793,0.888,0.448,0
0.035,0,0.068,0.986
0.086,0.031,0.129,0.992
0.074,0.149,0.644,0.979
0.31,0.022,0.664,0.993
0.047,0.049,0.072,0.979
0.022,0.059,0.709,0.028
0.063,0.086,0.185,0.979
0.04,0.493,0.082,0.624
0.022,0.182,0.633,0.517
0.074,0.555,0.67,0.994
0.099,0.395,0.439,0.981
0,0.963,0.079,0.952
0.027,0.42,0.963,0.091
0.076,0.078,0.047,0.886
0.083,0.648,0.481,0.587
0.075,0.075,0.381,0.933
0.021,0.077,0.79,0.963
0,0.918,0.886,0.966
0.047,0,0.145,0.471
0,0.022,0.032,0.714
0.059,0.978,0.9,0.964
0.086,0.027,0.028,0.97
0.027,0.075,0.684,0.972
0,0.098,0.049,0.713
0.02,0.062,1,0.964
0.079,0.934,0.986,0.963
0.086,0.047,0.588,0.982
0.086,0.022,0.047,0.987
0.047,0.039,1,0.059
0.996,0.08,0.085,0.743
0.965,0.966,0.976,0.963
0.066,0.017,0.227,0.964
0.046,0.979,0.91,0.526
0,0.082,0.926,0.139
