Predicting,BeforeorAfter,Lateness,CNVSlope
Predicting,Before,2,0.0114975197551151
Predicting,Before,2,-0.0127468504748928
Predicting,Before,2,-0.0110386721789837
Predicting,Before,2,0.00800409292181333
Predicting,Before,2,-0.00304358700911204
Predicting,Before,2,-0.0146906950200597
Predicting,Before,2,-0.0148730287328362
Predicting,Before,2,0.00933896175896128
Predicting,Before,2,-0.0181286757191022
Predicting,Before,2,-0.00892609621708592
Predicting,Before,2,0.000316913336670647
Predicting,Before,2,0.0428392762939135
Predicting,Before,2,-0.00441542527793596
Predicting,Before,2,0.00594028667546809
Predicting,Before,2,-0.00168860841464872
Predicting,Before,2,0.032023373991251
Predicting,Before,2,0.0047113784433653
Predicting,Before,2,-0.0127952499315143
Predicting,Before,2,0.0024879186724623
Predicting,Before,2,0.0080826150563856
Predicting,Before,2,0.00246711994986981
Predicting,Before,2,-0.00695010429869096
Predicting,Before,2,0.0137956111381451
Predicting,Before,2,0.00133147494246562
Predicting,Before,2,-0.00832842943297389
Predicting,Before,2,0.00661934004165232
Predicting,Before,2,-0.00213524573094522
Predicting,Before,2,0.00455510977189988
Predicting,Before,2,-0.0138736468895028
Predicting,Before,2,0.00263653253205121
Predicting,Before,2,0.0123348734341562
Predicting,Before,2,0.00164707235914345
Predicting,Before,2,-0.0241687123974164
Predicting,Before,2,-0.00748640814951311
Predicting,Before,2,0.0220876913517714
Predicting,Before,2,0.00914332487930854
Predicting,Before,2,0.0104239427795013
Predicting,Before,2,-0.0142207592725754
Predicting,Before,2,-0.0181018883983294
Predicting,Before,2,0.00282159416625897
Predicting,Before,2,-0.00665071563950429
Predicting,Before,2,-0.0123126950735847
Predicting,Before,2,-0.0493053973962863
Predicting,Before,2,0.0202344957118233
Predicting,Before,2,-0.0230310975263516
Predicting,Before,2,-0.0149087949345509
Predicting,Before,2,-0.00753627767941604
Predicting,Before,2,0.00242825977814694
Predicting,Before,2,-0.00702634050200383
Predicting,Before,2,0.00929770393607517
Predicting,Before,2,0.0205565935078387
Predicting,Before,3,-0.00236235652118921
Predicting,Before,3,0.00685463317980369
Predicting,Before,3,0.00635132980581451
Predicting,Before,3,0.00886361169007917
Predicting,Before,3,7.74516956880689e-05
Predicting,Before,3,-0.00117447087541223
Predicting,Before,3,0.00951850134879351
Predicting,Before,3,0.0048938855373611
Predicting,Before,3,-0.00478805946962287
Predicting,Before,3,0.000756161209816734
Predicting,Before,3,0.00281077716499567
Predicting,Before,3,-0.012214343684415
Predicting,Before,3,0.0154903195798397
Predicting,Before,3,0.010701887057318
Predicting,Before,3,0.016306485204647
Predicting,Before,3,-0.00323987531010062
Predicting,Before,3,0.00400250288657844
Predicting,Before,3,-0.00601956410294709
Predicting,Before,3,-0.00134058366529644
Predicting,Before,3,-0.00703795890634259
Predicting,Before,3,4.57159864405791e-05
Predicting,Before,3,0.00591399831076463
Predicting,Before,3,-0.00972629322980841
Predicting,Before,3,-0.00445005831231053
Predicting,Before,3,0.00522459154793372
Predicting,Before,3,-0.00194324397792419
Predicting,Before,3,0.00412009648668269
Predicting,Before,3,0.0102629908360541
Predicting,Before,3,-0.00996682591115435
Predicting,Before,3,0.014031425351277
Predicting,Before,3,-0.00368101634861281
Predicting,Before,3,0.0044237522330756
Predicting,Before,3,-0.0283322874456644
Predicting,Before,3,0.00384590087924153
Predicting,Before,3,-0.0273398940141002
Predicting,Before,3,0.0101658829177419
Predicting,Before,3,-0.0066452594473958
Predicting,Before,3,0.00463975733146071
Predicting,Before,3,-0.0188494070122639
Predicting,Before,3,-0.00259282781432072
Predicting,Before,3,0.0105864919300226
Predicting,Before,3,-0.00277687252188722
Predicting,Before,3,0.0259343203894484
Predicting,Before,3,0.00716537764916817
Predicting,Before,3,-0.01148380098554
Predicting,Before,3,-0.00674082437762991
Predicting,Before,3,-0.00255135431264838
Predicting,Before,3,-0.018461868322144
Predicting,Before,3,0.0128673240542412
Predicting,Before,3,0.0042633016128093
Predicting,Before,3,-0.0218062596007561
Predicting,Before,3,0.00524358736583963
Predicting,Before,3,-0.000886003642032544
Predicting,Before,3,-0.0230497705439727
Predicting,Before,3,0.00359281556544981
Predicting,Before,3,-0.0100531294786682
Predicting,Before,3,-0.00616023313098898
Predicting,Before,4,-4.30494546890259e-05
Predicting,Before,4,-0.00575538468547165
Predicting,Before,4,-0.00230299780378118
Predicting,Before,4,-0.00021220077178441
Predicting,Before,4,0.0045080817459772
Predicting,Before,4,0.013396632236739
Predicting,Before,4,-0.0111719300039113
Predicting,Before,4,-0.00572944944724441
Predicting,Before,4,-0.00737452188817163
Predicting,Before,4,0.00656890581982831
Predicting,Before,4,0.00169763248413801
Predicting,Before,4,-0.00246722033868233
Predicting,Before,4,-0.00927680816190938
Predicting,Before,4,-0.00443697938074668
Predicting,Before,4,0.0118894403179487
Predicting,Before,4,-0.0247618742287159
Predicting,Before,4,0.00829333819759389
Predicting,Before,4,0.00885444724311431
Predicting,Before,4,-0.0296623188381394
Predicting,Before,4,0.0229959338903427
Predicting,Before,4,-0.0458920908470949
Predicting,Before,4,0.00183921245237192
Predicting,Before,4,0.0272196714455883
Predicting,Before,4,-0.00995845200183491
Predicting,Before,4,-0.00829103759800394
Predicting,Before,4,0.00420025192822019
Predicting,Before,4,-0.00172580576812228
Predicting,Before,4,-0.00371303649929663
Predicting,Before,4,0.00500409429272016
Predicting,Before,4,0.0018824206199497
Predicting,Before,4,-0.0271905434007446
Predicting,Before,4,0.0105990443068246
Predicting,Before,4,-0.0160108966132005
Predicting,Before,4,0.00860101500196227
Predicting,Before,4,0.00819704303648905
Predicting,Before,4,0.0185263805712263
Predicting,Before,4,-0.0117379327615102
Predicting,Before,4,0.0106062218546867
Predicting,Before,4,-0.0143672686535865
Predicting,Before,4,0.00583427849536141
Predicting,Before,4,-0.0156781414989382
Predicting,Before,4,-0.0217912436152498
Predicting,Before,4,0.0153225185349584
Predicting,Before,4,-0.0105781195840488
Predicting,Before,4,-0.00816305866464972
Predicting,Before,4,0.0174058865134915
Predicting,Before,4,0.00045617277889202
Predicting,Before,4,0.00458732487944265
Predicting,Before,4,-0.00636793362597624
Predicting,Before,4,-0.0134416916407645
Predicting,Before,4,0.00580923282783867
Predicting,Before,4,-0.000515507902794828
Predicting,Before,4,-0.00773816306415635
Predicting,Before,4,0.00535892508924007
Predicting,Before,4,-0.0222764493276676
Predicting,Before,4,0.00868168768162529
Predicting,Before,4,0.0162659948691726
Predicting,After,1,0.00623354447695116
Predicting,After,1,0.00928076822310686
Predicting,After,1,0.017694675984482
Predicting,After,1,0.0084150144054244
Predicting,After,1,-0.0027623800560832
Predicting,After,1,-0.0162031270253162
Predicting,After,1,0.00579531631471279
Predicting,After,1,-0.00449180204304866
Predicting,After,1,-0.0137358398642391
Predicting,After,1,0.0294221372654041
Predicting,After,1,0.0256136854489644
Predicting,After,1,0.0234463141338589
Predicting,After,1,-0.0131417009979486
Predicting,After,1,0.00385965251674255
Predicting,After,1,-0.00804155568281809
Predicting,After,1,0.00833696778863668
Predicting,After,1,-0.00073616827527682
Predicting,After,1,0.00275150407105684
Predicting,After,1,0.00150054004431392
Predicting,After,1,0.00608451928322514
Predicting,After,1,-0.00174962480862935
Predicting,After,1,-0.0250929202884436
Predicting,After,1,-0.02390716286997
Predicting,After,1,-0.000947198374584938
Predicting,After,1,0.00397791938545803
Predicting,After,1,0.00160653524411221
Predicting,After,1,-0.0123855285346508
Predicting,After,1,-0.00987087578202287
Predicting,After,1,-0.00443351179516564
Predicting,After,1,-0.00388584753576045
Predicting,After,1,0.0156271453791608
Predicting,After,1,-0.00309679936617613
Predicting,After,1,-0.0153203681111336
Predicting,After,1,-0.00322204828262329
Predicting,After,1,0.00076321450372537
Predicting,After,1,0.0203909926737348
Predicting,After,1,-0.0143021576416989
Predicting,After,1,0.00218981333697836
Predicting,After,1,0.00827974698040634
Predicting,After,1,0.00633517929236405
Predicting,After,1,0.0146232874443134
Predicting,After,1,0.000393510330468416
Predicting,After,1,0.0170966060832143
Predicting,After,1,-0.0551557807872693
Predicting,After,1,-0.00890249976267417
Predicting,After,1,-0.0181445873652895
Predicting,After,1,-0.00974919802198807
Predicting,After,1,0.012010846597453
Predicting,After,1,0.00905919381572554
Predicting,After,1,0.00659905451660355
Predicting,After,1,0.00163922282808926
Predicting,After,1,-0.0139729351115723
Predicting,After,1,0.0212717425699035
Predicting,After,1,0.00963688610742489
Predicting,After,1,0.0148068672666947
Predicting,After,1,-0.00378426443785429
Predicting,After,1,0.00274674594402313
Predicting,After,1,-0.00708521456302454
Predicting,After,1,0.00537031842395663
Predicting,After,1,-0.00415034502536097
Predicting,After,1,0.0156447705812752
Predicting,After,2,-0.00546002760529518
Predicting,After,2,-0.0376489100356897
Predicting,After,2,0.00121733755804598
Predicting,After,2,-0.0259449187045296
Predicting,After,2,0.00248696740406255
Predicting,After,2,-0.0129790040664375
Predicting,After,2,0.00702714330206315
Predicting,After,2,0.00507050372349719
Predicting,After,2,0.0167653365060687
Predicting,After,2,-0.00557265120248
Predicting,After,2,-0.0106018544562782
Predicting,After,2,0.0089359610962371
Predicting,After,2,-0.00271923157076041
Predicting,After,2,0.000813585085173448
Predicting,After,2,-0.00562461372464895
Predicting,After,2,0.00645817350596189
Predicting,After,2,0.0246256795556595
Predicting,After,2,-0.000664230746527513
Predicting,After,2,-0.00940997789924343
Predicting,After,2,-0.0104206677836676
Predicting,After,2,-0.00148321579520901
Predicting,After,2,0.00173349748850645
Predicting,After,2,0.00759480660781264
Predicting,After,2,0.0155942381049196
Predicting,After,2,0.00892135097334782
Predicting,After,2,0.0134342736176526
Predicting,After,2,-0.00598423462361097
Predicting,After,2,0.0169144545992215
Predicting,After,2,0.00440837691227595
Predicting,After,2,-0.0144520002262046
Predicting,After,2,-0.00606414737800757
Predicting,After,2,0.00799005944281816
Predicting,After,2,0.00795605941675603
Predicting,After,2,-0.0016011589517196
Predicting,After,2,0.0256623141467571
Predicting,After,2,0.00204355122211079
Predicting,After,2,-0.00991286880647143
Predicting,After,2,-0.0155590066375832
Predicting,After,2,0.00744262182464202
Predicting,After,2,-0.0191525196035703
Predicting,After,2,-0.00300983789687355
Predicting,After,2,-0.0122546100174077
Predicting,After,2,0.00614926591515541
Predicting,After,2,0.0194255337119102
Predicting,After,2,0.00906290812417865
Predicting,After,2,0.0144381715605656
