LateBeforeNopre,CNVBeforeNopre,LateAfterNopre,CNVAfterNopre
2,0.00359577130681525,3,0.0003442558615158
2,0.000885809926937024,4,0.00534280839686592
4,-0.0110414186492562,4,0.00422845926368609
1,0.00172423695524534,1,-0.00640265247784555
3,-0.00052613066509366,3,0.0031897770628954
4,-0.00326722697354853,2,-0.00636027691264947
3,0.00242269854061306,1,0.00995315130179127
1,0.0191757374753555,3,-0.00292512107019623
4,-0.0134499981068075,4,-0.00616185475761692
4,0.00208396092057228,4,0.000461510596020768
3,-0.0038997915883859,2,0.000179741587847578
3,0.00047775210502247,2,-0.00415320696629351
2,-0.00412488253399109,4,0.0054523297585547
3,-0.00100451599185665,3,0.00713687064126134
2,-0.0114990094055732,3,-0.000811580908096706
2,0.00583289051428437,1,-0.008260036673164
1,-0.00570087026183804,3,-0.0154649885371327
2,-0.00032355907994012,4,0.00243911310099065
1,-0.0149859354520837,4,0.0233023588856061
4,-0.0061844196364594,2,0.00593532738275826
4,0.00407716530996064,4,0.0139514928062757
2,0.0013406669216541,4,-0.00341357259700696
2,0.0047435718588531,4,0.00345382078861197
4,-0.0112244511644046,2,0.00871113811930021
1,-0.00623581224742035,3,0.00458672813450297
2,0.00201524080087741,2,-0.0219243156413237
1,0.00471946100393931,2,0.00269134913105518
4,0.00310619637214889,2,0.00819155806675553
3,0.00127134089901422,4,-0.00582125863972275
2,0.00483608460732891,4,0.00803394677738349
4,0.00670669934091469,4,-0.00401359191164374
1,-0.00424485370361557,2,-0.00318170399017011
1,8.09446792118251e-05,4,0.000623491398679713
2,-0.00669252810378869,4,0.0076564719590048
1,0.0071601167631646,3,0.011685700311015
4,-0.000491915028154229,3,-0.000827945458392302
4,-0.0104349426304301,2,-0.00526777189224958
2,-0.00274681928567588,1,-0.00442522733161847
2,-0.00438176654279232,4,-0.018182959407568
1,-0.00063878142585357,1,-0.01154222805053
4,-0.00325662452572336,1,0.00224245442465569
3,-0.002660029528973,4,-0.00769928256825854
1,-0.00286369060631841,1,0.00544029629478852
2,0.00113696480790774,1,-0.0148316423098246
3,-0.00258531021730353,3,-0.00219491712050512
1,-0.00136101317669575,2,-0.0013330966370025
3,-0.0122480026135842,3,-0.00505560388167699
2,0.00882265778879325,3,0.00826208328362554
1,0.0115826581216728,2,-0.00928989471867681
3,0.00250784835467736,1,0.00596546913341929
4,-0.00190735810125868,3,-0.00452753175826122
4,-0.00426130074386795,3,-0.00204189688277741
2,-0.0119945574551821,3,-0.00478991493582726
3,-0.00910288702774172,2,0.00153507804498076
3,0.00865445720652739,1,0.00979571153099338
1,0.0185714003940423,4,-0.00597643107175827
1,0.00488757683585087,3,0.0128223802894354
2,-0.0084118329298993,2,-0.00411152211017907
2,0.0151118601982792,1,-0.000283289545526107
4,0.00356349094848459,3,-0.00628061452880502
3,-0.00145716119247178,3,0.00216295046266168
4,0.0149203709637125,1,-0.00793818089490136
2,-0.00535848829895258,1,0.000116737559437752
3,-0.00863665156066418,1,0.00848011284445723
1,0.000230548010828594,2,-0.00150233685659866
4,-0.00848963794608911,1,-0.00320850933591525
2,0.00370879766220848,1,-0.00545112354060014
3,-0.0028227874233077,3,0.00322638613094265
2,-0.00521715187157194,4,0.00482132004496331
1,-0.00487932655960321,2,0.000502637820318341
4,0.00527134949030976,4,0.0102519637730438
4,0.00415523629635572,2,-0.00316158849697482
2,-0.00945634293990831,1,0.00893177882729409
4,-0.0167590373506149,4,0.00202766930063566
4,0.00324074066399286,1,-0.00908936218669017
3,0.00737861784485479,1,-0.00101320194759561
3,-0.00260910015398016,3,0.00867711162815491
3,0.00275147271653016,1,0.0055869217030704
4,-0.00748178067927559,4,-0.000196298099278162
1,0.0041810298183312,2,-0.00115391631455471
2,0.0196697808181246,2,-0.00707628174374501
4,0.00719665767004093,2,0.00615718537786355
1,0.00573550273353855,4,-0.00109457114012912
2,-0.00467159987116853,3,-0.013828265791138
2,-0.00617553542057673,1,-0.00046166234339277
1,-0.00758067638768504,1,-0.000877353925413142
4,-0.00209060811903328,1,-0.00430883789279809
3,-0.00636396271875128,4,0.0146973356604576
4,0.0161509538690249,3,0.00137203776588043
1,-0.0119796575357517,2,0.000353747493742655
4,-0.00468736059701769,4,0.00549696052136521
3,-0.00257719901856035,4,0.00949679780751467
3,-0.00113056786358356,3,0.00115614558914482
1,-0.00805484782904387,4,0.000273394165560603
3,0.0101945851929486,1,-0.00223651008370022
4,0.00737185062219699,2,-0.000607845567477246
2,-0.00883983898287018,4,-0.0185227971524
1,0.00510025334854921,2,0.00370061180243889
2,-0.00111076903219024,2,0.0144503718862931
1,0.00344470050185919,2,0.00340441800653934
1,-0.00741799738413344,4,-0.0146628233293692
4,0.0133298607737136,2,0.00520646168539921
4,0.00260754653330271,3,0.00422208321591218
2,0.0026802339804514,3,-0.00269645964726806
3,0.00213624779280508,2,-0.00969796627759933
3,-0.00253316247835755,1,-0.00446200805405776
1,0.00723746325820684,2,-0.0059223926315705
2,-0.00198621341648201,1,0.0047826348648717
1,0.00573037176703413,1,-0.00819470353114108
3,-0.00728321184093754,2,0.00945415743626654
1,0.0192828314999739,4,-0.00565522955730557
2,0.00591495163583507,1,-0.00662614630224804
2,-0.00375817048673828,1,-0.00454254200061162
2,0.00872638763394207,1,-0.000395050194735328
2,0.00502322847023606,2,-0.0119336005300283
1,0.00947486950705449,3,-0.0148243196308613
3,-0.00983044722427925,2,-0.00418875951921412
4,-0.00305543009502192,1,-0.0007276176669014
3,-0.0161697007715702,2,-0.00117658362917912
4,0.00381367487716489,4,0.0173026300326455
1,0.011516864101092,4,0.0189398023455093
2,-0.00295687816105783,4,0.00133028638083488
4,0.00896556489169598,1,0.00396092246228363
4,-0.00451771169900894,2,0.0104412964234749
1,0.00345964539640894,4,0.0123148262500763
3,-0.000344263467316826,3,-0.00145190181986739
